SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,0,1173.4999,699.8012,12.2317
Gravel Surface 1,0,1173.7630,699.4750,12.2350
Gravel Surface 1,0,1176.1839,696.3791,12.2767
Gravel Surface 1,0,1176.9842,695.3407,12.2792
Gravel Surface 1,0,1169.6484,682.1295,14.7258
Gravel Surface 1,0,1179.6382,691.8971,12.3304
Gravel Surface 1,0,1180.3308,690.9985,12.3438
Gravel Surface 1,0,1181.0557,690.0932,12.3538
Gravel Surface 1,0,1182.3295,688.5023,12.3706
Gravel Surface 1,0,1183.1997,675.9252,14.5600
Gravel Surface 1,0,1184.0316,686.3767,12.5930
Gravel Surface 1,0,1185.6482,684.3577,12.6094
Gravel Surface 1,0,1186.4253,683.3702,12.6202
Gravel Surface 1,0,1188.8211,680.3257,12.6476
Gravel Surface 1,0,1183.2412,675.8727,14.5597
Gravel Surface 1,0,1191.2168,677.2814,12.6692
Gravel Surface 1,0,1192.6204,675.4977,12.6590
Gravel Surface 1,0,1189.4404,668.0261,14.5097
Gravel Surface 1,0,1192.9396,675.0921,12.6611
Gravel Surface 1,0,1195.0273,672.4750,12.6690
Gravel Surface 1,0,1197.4532,669.4342,12.6724
Gravel Surface 1,0,1198.8341,667.7032,12.6587
Gravel Surface 1,0,1195.6397,660.1797,14.4598
Gravel Surface 1,0,1200.8122,665.2235,12.6568
Gravel Surface 1,0,1201.2573,664.6531,12.6583
Gravel Surface 1,0,1203.6542,661.5809,12.6607
Gravel Surface 1,0,1205.0164,659.8350,12.6530
Gravel Surface 1,0,1201.8389,652.3330,14.4098
Gravel Surface 1,0,1207.4089,656.7687,12.6495
Gravel Surface 1,0,1209.7905,653.7162,12.6401
Gravel Surface 1,0,1211.0483,652.1041,12.6328
Gravel Surface 1,0,1211.4472,651.5928,12.6305
Gravel Surface 1,0,1212.4592,650.3336,12.6191
Gravel Surface 1,0,1208.0381,644.4864,14.3599
Gravel Surface 1,0,1213.5992,648.9151,12.6055
Gravel Surface 1,0,1216.0448,645.8721,12.5761
Gravel Surface 1,0,1216.3010,645.5533,12.5732
Gravel Surface 1,0,1217.4046,644.1541,12.5647
Gravel Surface 1,0,1214.2374,636.6399,14.3099
Gravel Surface 1,0,1219.8230,641.0880,12.5441
Gravel Surface 1,0,1222.2441,638.0183,12.5234
Gravel Surface 1,0,1222.7268,637.4064,12.5197
Gravel Surface 1,0,1223.5869,636.2857,12.5176
Gravel Surface 1,0,1220.4370,628.7928,14.2600
Gravel Surface 1,0,1225.9608,633.1926,12.5098
Gravel Surface 1,0,1227.8068,630.7872,12.5038
Gravel Surface 1,0,1228.3212,630.1436,12.4981
Gravel Surface 1,0,1230.5777,627.3205,12.4437
Gravel Surface 1,0,1230.4883,623.8797,12.9438
Gravel Surface 1,0,1231.8059,625.3947,12.4851
Gravel Surface 1,0,1230.9759,626.8223,12.4394
Gravel Surface 1,0,1231.5368,625.8940,12.4652
Gravel Surface 1,0,1231.9487,625.1297,12.4158
Gravel Surface 1,0,1232.4983,624.1100,12.6096
Gravel Surface 1,0,1231.9442,622.9141,13.0000
Gravel Surface 1,0,1227.0860,621.2888,14.0875
Gravel Surface 1,0,1227.0151,621.3446,14.0926
Gravel Surface 1,0,1226.0160,621.7313,14.2150
Gravel Surface 1,0,1228.1837,620.2870,14.0000
Gravel Surface 1,0,1226.6427,620.9437,14.2091
Gravel Surface 1,0,1225.9691,620.4194,14.2429
Gravel Surface 1,0,1226.8200,618.1929,14.0000
Gravel Surface 1,0,1225.2570,616.2431,14.0000
Gravel Surface 1,0,1218.1202,614.2135,14.5120
Gravel Surface 1,0,1223.5099,614.4564,14.0000
Gravel Surface 1,0,1221.5955,612.8501,14.0000
Gravel Surface 1,0,1226.9066,607.6054,13.2843
Gravel Surface 1,0,1227.4442,608.0729,13.2855
Gravel Surface 1,0,1228.5149,609.0041,13.2969
Gravel Surface 1,0,1229.5839,609.9454,13.2858
Gravel Surface 1,0,1230.0724,610.4690,13.2874
Gravel Surface 1,0,1230.9630,611.5720,13.2757
Gravel Surface 1,0,1231.8082,612.7577,13.2470
Gravel Surface 1,0,1232.5790,614.0985,13.2040
Gravel Surface 1,0,1232.7151,614.6076,13.2280
Gravel Surface 1,0,1233.1021,616.0554,13.1943
Gravel Surface 1,0,1233.3768,617.6216,13.1392
Gravel Surface 1,0,1233.2521,616.6167,13.1678
Gravel Surface 1,0,1233.4210,617.9772,13.1625
Gravel Surface 1,0,1233.4677,619.5238,13.0788
Gravel Surface 1,0,1233.0804,621.2712,13.0000
Gravel Surface 1,0,1233.3886,620.6055,13.0000
Gravel Surface 1,0,1233.3324,621.3714,12.9233
Gravel Surface 1,0,1232.8737,622.8788,12.7841
Gravel Surface 1,0,1230.5149,610.9433,13.2775
Gravel Surface 1,0,1229.5267,609.8841,13.2857
Gravel Surface 1,0,1225.8313,606.6703,13.2479
Gravel Surface 1,0,1224.6461,605.6395,13.1793
Gravel Surface 1,0,1223.2195,604.3988,13.0631
Gravel Surface 1,0,1223.0796,604.2771,13.0604
Gravel Surface 1,0,1219.2018,611.2404,14.0000
Gravel Surface 1,0,1222.6097,603.8685,13.0000
Gravel Surface 1,0,1221.3342,603.9373,13.0000
Gravel Surface 1,0,1219.3871,604.3837,13.0000
Gravel Surface 1,0,1217.7824,605.0349,13.0000
Gravel Surface 1,0,1217.0694,604.7769,13.0034
Gravel Surface 1,0,1217.7118,603.9494,13.0069
Gravel Surface 1,0,1220.0052,601.6033,12.9477
Gravel Surface 1,0,1219.7233,601.3582,12.9459
Gravel Surface 1,0,1221.4920,602.8964,12.9801
Gravel Surface 1,0,1221.5936,602.9847,12.9802
Gravel Surface 1,0,1221.6910,603.0695,12.9800
Gravel Surface 1,0,1216.2156,605.8768,13.0004
Gravel Surface 1,0,1216.2918,605.9165,13.0000
Gravel Surface 1,0,1216.6409,609.9126,14.0000
Gravel Surface 1,0,1215.1245,607.3065,13.1417
Gravel Surface 1,0,1216.0014,606.1527,13.0000
Gravel Surface 1,0,1215.2615,607.1058,13.1118
Gravel Surface 1,0,1215.0319,607.4333,13.2112
Gravel Surface 1,0,1214.3576,608.3194,13.6935
Gravel Surface 1,0,1214.0153,608.7544,13.9309
Gravel Surface 1,0,1213.9374,608.8742,13.9988
Gravel Surface 1,0,1212.9422,610.1182,14.6896
Gravel Surface 1,0,1213.5461,609.3507,14.2660
Gravel Surface 1,0,1213.6322,609.2414,14.2056
Gravel Surface 1,0,1213.6033,610.6421,14.6673
Gravel Surface 1,0,1215.3015,611.9848,14.6087
Gravel Surface 1,0,1174.5965,675.8852,14.7223
Gravel Surface 1,0,1175.8591,674.2919,14.7214
Gravel Surface 1,0,1177.8244,671.8117,14.7200
Gravel Surface 1,0,1176.8107,673.0910,14.7207
Gravel Surface 1,0,1175.0765,697.8159,12.2552
Gravel Surface 1,0,1143.6203,737.4839,11.8487
Gravel Surface 1,0,1108.1950,741.5717,12.3215
Gravel Surface 1,0,1115.8916,738.6938,14.1460
Gravel Surface 1,0,1112.6933,737.1177,13.6263
Gravel Surface 1,1,1119.9079,649.3225,12.0000
Gravel Surface 1,1,1117.3459,647.5418,11.9506
Gravel Surface 1,1,1116.6984,648.3517,11.9481
Gravel Surface 1,1,1122.1684,646.5180,12.0000
Gravel Surface 1,1,1119.9429,644.2937,11.9503
Gravel Surface 1,1,1127.4827,651.8295,12.9728
Gravel Surface 1,1,1130.0713,653.9039,13.4048
Gravel Surface 1,1,1130.6575,657.8392,13.7858
Gravel Surface 1,1,1127.4617,661.8825,14.4900
Gravel Surface 1,1,1113.6323,657.1082,12.0000
Gravel Surface 1,1,1107.3567,664.8939,12.0000
Gravel Surface 1,1,1132.9728,666.2757,14.7100
Gravel Surface 1,1,1101.0812,672.6795,12.0000
Gravel Surface 1,1,1098.6192,670.9636,11.9442
Gravel Surface 1,1,1104.1569,664.0375,11.9435
Gravel Surface 1,1,1104.8613,663.1565,11.9465
Gravel Surface 1,1,1110.4291,656.1927,11.9459
Gravel Surface 1,1,1111.1036,655.3492,11.9487
Gravel Surface 1,1,1097.8811,671.8868,11.9408
Gravel Surface 1,1,1092.3771,678.7707,11.9415
Gravel Surface 1,1,1094.8057,680.4652,12.0000
Gravel Surface 1,1,1094.2299,715.4363,15.0627
Gravel Surface 1,1,1091.2315,719.2409,15.0900
Gravel Surface 1,1,1088.5302,688.2510,12.0000
Gravel Surface 1,1,1086.0721,686.5336,11.9368
Gravel Surface 1,1,1085.1994,687.5796,11.9319
Gravel Surface 1,1,1079.6587,694.2204,11.9286
Gravel Surface 1,1,1082.2546,696.0367,12.0000
Gravel Surface 1,1,1078.6661,695.4101,11.9225
Gravel Surface 1,1,1073.2458,701.9068,11.9190
Gravel Surface 1,1,1075.9790,703.8224,12.0000
Gravel Surface 1,1,1074.8536,712.8444,12.0000
Gravel Surface 1,1,1087.4352,723.4780,14.0000
Gravel Surface 1,1,1076.9107,722.6305,12.0000
Gravel Surface 1,1,1083.8703,727.4568,13.0000
Gravel Surface 1,1,1080.9968,730.6640,12.0000
Gravel Surface 1,1,1079.5248,731.9356,12.0000
Gravel Surface 1,1,1078.7344,731.3057,12.0000
Gravel Surface 1,1,1077.9433,730.6753,11.4596
Gravel Surface 1,1,1074.2337,727.3169,11.8787
Gravel Surface 1,1,1070.9812,722.3150,11.8233
Gravel Surface 1,1,1069.1897,713.3644,11.8260
Gravel Surface 1,1,1070.4582,707.0263,11.8605
Gravel Surface 1,1,1069.5342,710.2483,11.8344
Gravel Surface 1,1,1070.1450,707.7386,11.8514
Gravel Surface 1,1,1069.1897,712.7524,11.8256
Gravel Surface 1,1,1073.5821,706.7961,12.0000
Gravel Surface 1,1,1071.5174,704.6855,11.9287
Gravel Surface 1,1,1072.9020,702.3188,11.9188
Gravel Surface 1,1,1069.3787,717.0030,11.8086
Gravel Surface 1,1,1069.1897,714.5209,11.8187
Gravel Surface 1,1,1070.2243,720.5399,11.8117
Gravel Surface 1,1,1071.1806,722.7826,11.8253
Gravel Surface 1,1,1073.2026,726.1839,11.8572
Gravel Surface 1,1,1075.5671,728.7819,11.7127
Gravel Surface 1,1,1079.5788,731.9786,11.9015
Gravel Surface 1,1,1079.7136,732.0962,11.6446
Gravel Surface 1,1,1080.4722,732.7583,11.4179
Gravel Surface 1,1,1088.3902,729.4838,12.0000
Gravel Surface 1,1,1088.6167,729.5146,12.4967
Gravel Surface 1,1,1093.6258,721.1417,14.9310
Gravel Surface 1,1,1097.3054,728.4910,13.0683
Gravel Surface 1,1,1095.8298,730.3522,12.4975
Gravel Surface 1,1,1095.8978,731.7640,12.3699
Gravel Surface 1,1,1093.6936,733.8466,12.0793
Gravel Surface 1,1,1094.5614,733.0908,12.2351
Gravel Surface 1,1,1081.5939,733.7371,11.4149
Gravel Surface 1,1,1091.8270,735.3271,11.8223
Gravel Surface 1,1,1082.0280,734.1074,11.4142
Gravel Surface 1,1,1083.6398,735.4824,11.4635
Gravel Surface 1,1,1086.3966,737.4306,11.5540
