SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,0,1197.7403,706.8636,12.2317
Gravel Surface 1,0,1198.0034,706.5374,12.2350
Gravel Surface 1,0,1200.4243,703.4415,12.2767
Gravel Surface 1,0,1201.2246,702.4031,12.2792
Gravel Surface 1,0,1193.8888,689.1919,14.7258
Gravel Surface 1,0,1203.8786,698.9595,12.3304
Gravel Surface 1,0,1204.5712,698.0609,12.3438
Gravel Surface 1,0,1205.2961,697.1556,12.3538
Gravel Surface 1,0,1206.5699,695.5647,12.3706
Gravel Surface 1,0,1207.4401,682.9876,14.5600
Gravel Surface 1,0,1208.2720,693.4391,12.5930
Gravel Surface 1,0,1209.8886,691.4201,12.6094
Gravel Surface 1,0,1210.6657,690.4326,12.6202
Gravel Surface 1,0,1213.0615,687.3881,12.6476
Gravel Surface 1,0,1207.4816,682.9351,14.5597
Gravel Surface 1,0,1215.4572,684.3438,12.6692
Gravel Surface 1,0,1216.8608,682.5601,12.6590
Gravel Surface 1,0,1213.6808,675.0885,14.5097
Gravel Surface 1,0,1217.1800,682.1545,12.6611
Gravel Surface 1,0,1219.2677,679.5374,12.6690
Gravel Surface 1,0,1221.6936,676.4966,12.6724
Gravel Surface 1,0,1223.0745,674.7655,12.6587
Gravel Surface 1,0,1219.8801,667.2420,14.4598
Gravel Surface 1,0,1225.0527,672.2858,12.6568
Gravel Surface 1,0,1225.4978,671.7154,12.6583
Gravel Surface 1,0,1227.8947,668.6432,12.6607
Gravel Surface 1,0,1229.2569,666.8973,12.6530
Gravel Surface 1,0,1226.0794,659.3953,14.4098
Gravel Surface 1,0,1231.6494,663.8310,12.6495
Gravel Surface 1,0,1234.0310,660.7785,12.6401
Gravel Surface 1,0,1235.2888,659.1664,12.6328
Gravel Surface 1,0,1235.6877,658.6551,12.6305
Gravel Surface 1,0,1236.6997,657.3959,12.6191
Gravel Surface 1,0,1232.2786,651.5487,14.3599
Gravel Surface 1,0,1237.8397,655.9774,12.6055
Gravel Surface 1,0,1240.2853,652.9344,12.5761
Gravel Surface 1,0,1240.5415,652.6156,12.5732
Gravel Surface 1,0,1241.6451,651.2164,12.5647
Gravel Surface 1,0,1238.4779,643.7022,14.3099
Gravel Surface 1,0,1244.0635,648.1503,12.5441
Gravel Surface 1,0,1246.4846,645.0806,12.5234
Gravel Surface 1,0,1246.9673,644.4687,12.5197
Gravel Surface 1,0,1247.8274,643.3480,12.5176
Gravel Surface 1,0,1244.6775,635.8551,14.2600
Gravel Surface 1,0,1250.2013,640.2549,12.5098
Gravel Surface 1,0,1252.0473,637.8495,12.5038
Gravel Surface 1,0,1252.5617,637.2059,12.4981
Gravel Surface 1,0,1254.8182,634.3828,12.4437
Gravel Surface 1,0,1254.7288,630.9420,12.9438
Gravel Surface 1,0,1256.0464,632.4570,12.4851
Gravel Surface 1,0,1255.2164,633.8846,12.4394
Gravel Surface 1,0,1255.7773,632.9563,12.4652
Gravel Surface 1,0,1256.1892,632.1920,12.4158
Gravel Surface 1,0,1256.7388,631.1723,12.6096
Gravel Surface 1,0,1256.1847,629.9764,13.0000
Gravel Surface 1,0,1251.3265,628.3511,14.0875
Gravel Surface 1,0,1251.2556,628.4069,14.0926
Gravel Surface 1,0,1250.2565,628.7936,14.2150
Gravel Surface 1,0,1252.4242,627.3493,14.0000
Gravel Surface 1,0,1250.8832,628.0060,14.2091
Gravel Surface 1,0,1250.2096,627.4817,14.2429
Gravel Surface 1,0,1251.0605,625.2552,14.0000
Gravel Surface 1,0,1249.4975,623.3053,14.0000
Gravel Surface 1,0,1242.3607,621.2757,14.5120
Gravel Surface 1,0,1247.7504,621.5186,14.0000
Gravel Surface 1,0,1245.8360,619.9123,14.0000
Gravel Surface 1,0,1251.1471,614.6676,13.2843
Gravel Surface 1,0,1251.6847,615.1351,13.2855
Gravel Surface 1,0,1252.7554,616.0663,13.2969
Gravel Surface 1,0,1253.8244,617.0076,13.2858
Gravel Surface 1,0,1254.3129,617.5312,13.2874
Gravel Surface 1,0,1255.2035,618.6342,13.2757
Gravel Surface 1,0,1256.0487,619.8199,13.2470
Gravel Surface 1,0,1256.8195,621.1607,13.2040
Gravel Surface 1,0,1256.9556,621.6698,13.2280
Gravel Surface 1,0,1257.3426,623.1176,13.1943
Gravel Surface 1,0,1257.6173,624.6838,13.1392
Gravel Surface 1,0,1257.4926,623.6789,13.1678
Gravel Surface 1,0,1257.6615,625.0395,13.1625
Gravel Surface 1,0,1257.7082,626.5861,13.0788
Gravel Surface 1,0,1257.3209,628.3335,13.0000
Gravel Surface 1,0,1257.6291,627.6678,13.0000
Gravel Surface 1,0,1257.5729,628.4337,12.9233
Gravel Surface 1,0,1257.1142,629.9411,12.7841
Gravel Surface 1,0,1254.7554,618.0055,13.2775
Gravel Surface 1,0,1253.7672,616.9463,13.2857
Gravel Surface 1,0,1250.0718,613.7325,13.2479
Gravel Surface 1,0,1248.8866,612.7017,13.1793
Gravel Surface 1,0,1247.4600,611.4610,13.0631
Gravel Surface 1,0,1247.3201,611.3393,13.0604
